#{"t_start": 1741449684.657253, "env_id": "None"}
r,l,t
-848.1169,130,2073.275162
-3697.246,1001,2086.666982
-2923.5413,1001,2087.701013
2505.5603,1001,2088.901139
4848.3013,1001,2094.513795
-2527.9114,278,2095.85689
3778.6294,1001,2097.523564
-5386.743,1001,2099.329747
-10293.604,1001,2101.151407
-1367.06,208,2102.717325
661.73785,1001,2104.870916
-3270.899,351,2113.450182
-5745.1177,618,2114.281662
4189.611,1001,2119.876143
1252.5908,1001,2121.057446
-1694.1227,235,2122.209019
-5749.2686,639,2125.283844
3383.6414,1001,2129.550593
-1315.7809,1001,2131.422096
-3112.9026,1001,2133.390189
-2945.3132,406,2148.172822
-4111.678,443,2155.611855
-3609.285,1001,2156.34682
-489.0487,1001,2163.008232
-4570.6895,1001,2164.355225
1414.0126,1001,2165.627309
1189.3867,786,2169.94157
-383.45737,185,2170.855504
-7095.691,718,2173.330973
-143.05032,1001,2173.746087
-4046.2854,495,2174.284171
1075.2731,541,2187.799344
4250.7725,1001,2189.638945
1963.4749,495,2190.038744
1946.8253,1001,2196.40562
3665.2375,1001,2198.83295
1179.541,851,2201.435463
166.3392,1001,2204.054291
825.15674,1001,2206.363907
2858.8296,512,2227.89868
1540.4496,995,2230.560428
4799.005,1001,2232.550607
-5555.6973,1001,2232.990307
2459.428,1001,2239.145404
2190.4436,1001,2241.32483
-6468.592,855,2243.545189
-3282.9517,441,2244.600984
1873.592,1001,2246.076719
-4467.7095,541,2249.664286
-419.0147,605,2251.879076
-2012.1083,273,2257.977997
-1032.7794,1001,2259.858109
3764.7212,641,2263.669032
-3491.7559,456,2266.195761
4568.246,1001,2270.384775
-862.3976,1001,2272.70453
31.347208,1001,2276.224397
-1949.792,1001,2277.970911
1014.0434,1001,2299.233578
-5110.8784,1001,2300.841105
-1019.1901,153,2304.036144
-4083.1858,1001,2304.931392
4721.6685,1001,2307.587622
-5733.466,1001,2312.267908
-2494.5854,263,2313.057512
-895.1242,813,2313.5992
1387.6908,1001,2314.85346
4026.9836,1001,2318.190724
-2423.2454,500,2328.995494
-2252.0886,1001,2333.335834
-6135.9204,1001,2337.461098
-7796.7954,809,2339.404655
-1545.6532,1001,2340.217779
-5619.905,725,2341.547012
1076.3745,409,2342.84197
1282.1938,1001,2345.116502
1467.2921,1001,2347.146594
-2488.8237,287,2347.513303
-1980.1213,633,2374.240271
-8624.763,992,2374.877537
-1488.3081,1001,2380.461154
-5148.2285,1001,2381.27465
-9919.105,955,2382.176707
3744.224,1001,2382.772189
338.7885,166,2386.771743
-8740.879,1001,2388.267342
-3180.2307,1001,2388.568774
-7535.1094,762,2399.391254
-869.4391,1001,2406.324279
3946.746,1001,2412.958186
-8869.951,1001,2414.554491
4304.57,1001,2415.104243
2942.8823,1001,2419.680387
-1555.3777,1001,2421.091882
-7831.915,1001,2421.414354
2907.1936,572,2425.974504
-2600.8396,308,2425.974504
-4036.5786,440,2428.579691
4075.1729,1001,2432.689765
-206.9221,623,2451.560834
-4134.23,572,2454.193807
-4908.898,1001,2457.72337
-4906.415,635,2458.878306
2987.6033,798,2461.726136
899.54504,1001,2462.660753
1147.6024,1001,2464.331706
-1283.6809,1001,2474.813267
1943.4181,1001,2483.849384
333.13577,1001,2486.660314
-5493.267,765,2488.533065
5497.452,942,2489.391812
1457.7528,1001,2490.481873
-5218.5205,590,2494.378936
3636.6738,1001,2494.68508
-8102.8794,1001,2495.811121
-5982.181,605,2507.510242
-3224.4263,386,2507.952078
-6472.424,640,2511.404267
-6886.201,1001,2528.110514
-1110.4846,1001,2532.604069
3264.2927,1001,2534.357078
1369.3215,906,2535.274017
3207.1372,1001,2539.340619
-2256.38,290,2543.883646
-3863.609,820,2548.472587
-5280.6143,1001,2550.619349
693.6604,1001,2551.184477
-1967.8846,240,2558.487937
4015.4937,732,2558.953641
-5220.558,614,2559.38266
4660.764,1001,2561.241745
-1091.4283,1001,2565.648736
-5564.9316,583,2567.811267
-4342.115,1001,2576.448153
-1412.0034,1001,2582.702485
3247.8262,578,2583.875341
-2129.9246,248,2584.340661
-2701.5088,1001,2590.815753
3831.427,1001,2591.201169
-7356.725,1001,2591.535298
-1292.4033,1001,2593.451624
-2795.1306,336,2594.405557
-2304.4385,235,2609.547851
1058.8214,1001,2610.531017
-2406.43,290,2611.697408
